"자치구별(1)","자치구별(2)",구분별(1),2023,2023,2023,2023,2023
"자치구별(1)","자치구별(2)",구분별(1),합계,차대사람,차대차,차량단독,건널목
"자치구별(1)","자치구별(2)",구분별(1),소계,소계,소계,소계,소계
"합계","소계",발생건수 (건),33811,7762,25029,1020,-
"합계","소계",사망자수 (명),180,88,72,20,-
"합계","소계",부상자수 (명),45414,8123,36205,1086,-
"합계","종로구",발생건수 (건),988,256,676,56,-
"합계","종로구",사망자수 (명),8,6,2,-,-
"합계","종로구",부상자수 (명),1331,275,999,57,-
"합계","중구",발생건수 (건),931,216,682,33,-
"합계","중구",사망자수 (명),3,3,-,-,-
"합계","중구",부상자수 (명),1194,230,930,34,-
"합계","용산구",발생건수 (건),996,205,763,28,-
"합계","용산구",사망자수 (명),11,2,5,4,-
"합계","용산구",부상자수 (명),1366,212,1124,30,-
"합계","성동구",발생건수 (건),919,216,687,16,-
"합계","성동구",사망자수 (명),6,3,2,1,-
"합계","성동구",부상자수 (명),1221,228,975,18,-
"합계","광진구",발생건수 (건),717,186,517,14,-
"합계","광진구",사망자수 (명),4,2,2,-,-
"합계","광진구",부상자수 (명),899,186,698,15,-
"합계","동대문구",발생건수 (건),1674,385,1242,47,-
"합계","동대문구",사망자수 (명),10,5,3,2,-
"합계","동대문구",부상자수 (명),2039,399,1591,49,-
"합계","중랑구",발생건수 (건),1268,332,887,49,-
"합계","중랑구",사망자수 (명),7,2,5,-,-
"합계","중랑구",부상자수 (명),1704,359,1292,53,-
"합계","성북구",발생건수 (건),1256,302,898,56,-
"합계","성북구",사망자수 (명),8,5,3,-,-
"합계","성북구",부상자수 (명),1581,309,1212,60,-
"합계","강북구",발생건수 (건),972,286,645,41,-
"합계","강북구",사망자수 (명),5,4,1,-,-
"합계","강북구",부상자수 (명),1217,296,879,42,-
"합계","도봉구",발생건수 (건),530,134,363,33,-
"합계","도봉구",사망자수 (명),7,4,2,1,-
"합계","도봉구",부상자수 (명),685,137,514,34,-
"합계","노원구",발생건수 (건),1366,269,1065,32,-
"합계","노원구",사망자수 (명),9,5,3,1,-
"합계","노원구",부상자수 (명),1869,278,1552,39,-
"합계","은평구",발생건수 (건),1039,320,670,49,-
"합계","은평구",사망자수 (명),7,6,1,-,-
"합계","은평구",부상자수 (명),1353,334,969,50,-
"합계","서대문구",발생건수 (건),916,223,641,52,-
"합계","서대문구",사망자수 (명),4,1,2,1,-
"합계","서대문구",부상자수 (명),1220,230,933,57,-
"합계","마포구",발생건수 (건),1250,272,959,19,-
"합계","마포구",사망자수 (명),14,6,6,2,-
"합계","마포구",부상자수 (명),1715,286,1412,17,-
"합계","양천구",발생건수 (건),1221,284,901,36,-
"합계","양천구",사망자수 (명),5,1,3,1,-
"합계","양천구",부상자수 (명),1624,293,1295,36,-
"합계","강서구",발생건수 (건),1518,330,1153,35,-
"합계","강서구",사망자수 (명),9,4,4,1,-
"합계","강서구",부상자수 (명),2112,339,1739,34,-
"합계","구로구",발생건수 (건),1359,338,988,33,-
"합계","구로구",사망자수 (명),5,1,3,1,-
"합계","구로구",부상자수 (명),1840,349,1456,35,-
"합계","금천구",발생건수 (건),876,225,599,52,-
"합계","금천구",사망자수 (명),7,3,2,2,-
"합계","금천구",부상자수 (명),1232,241,939,52,-
"합계","영등포구",발생건수 (건),1900,385,1442,73,-
"합계","영등포구",사망자수 (명),7,3,2,2,-
"합계","영등포구",부상자수 (명),2619,400,2137,82,-
"합계","동작구",발생건수 (건),1242,324,870,48,-
"합계","동작구",사망자수 (명),6,5,1,-,-
"합계","동작구",부상자수 (명),1668,341,1278,49,-
"합계","관악구",발생건수 (건),980,286,671,23,-
"합계","관악구",사망자수 (명),10,4,6,-,-
"합계","관악구",부상자수 (명),1252,305,924,23,-
"합계","서초구",발생건수 (건),2168,366,1745,57,-
"합계","서초구",사망자수 (명),7,3,4,-,-
"합계","서초구",부상자수 (명),3319,379,2876,64,-
"합계","강남구",발생건수 (건),3926,801,3057,68,-
"합계","강남구",사망자수 (명),7,5,2,-,-
"합계","강남구",부상자수 (명),5229,848,4303,78,-
"합계","송파구",발생건수 (건),2614,530,2035,49,-
"합계","송파구",사망자수 (명),10,5,5,-,-
"합계","송파구",부상자수 (명),3603,563,2985,55,-
"합계","강동구",발생건수 (건),1185,291,873,21,-
"합계","강동구",사망자수 (명),4,-,3,1,-
"합계","강동구",부상자수 (명),1522,306,1193,23,-
