도로구분,노선명,주소,구간,평균조도(LX),차도등 개수,보행등 개수,지하 차도등 개수,지하 보도등 개수,관리기관명,데이터작성기준일
시도,천호대로,서울특별시 광진구 천호대로,천호대로 북단-군자교 동쪽,22,252,236,0,0,서울특별시청,2025-03-14
시도,아차산로,서울특별시 광진구 아차산로,동일로 ~ 올림픽대교 북단,22,338,232,0,0,서울특별시청,2025-03-14
시도,아차산로,서울특별시 광진구 아차산로,올림픽대교북단 ~ 구리시계,22,90,71,0,0,서울특별시청,2025-03-14
시도,동일로,서울특별시 광진구 동일로,영동대교 북단 ~ 중량구계,22,178,169,0,0,서울특별시청,2025-03-14
시도,답십리로,서울특별시 광진구 답십리로,동일로 ~ 용마산로,22,16,7,0,0,서울특별시청,2025-03-14
시도,용마산로,서울특별시 광진구 용마산로,답십리로 ~ 천호대로,22,138,55,0,0,서울특별시청,2025-03-14
시도,광나루로,서울특별시 광진구 광나루로,올림픽대로 ~ 동일로,22,237,212,0,0,서울특별시청,2025-03-14
시도,능동로,서울특별시 광진구 능동로,뚝섬유원지역 ~ 용마산로,22,315,250,0,0,서울특별시청,2025-03-14
시도,자양로,서울특별시 광진구 자양로,잠실대교북단 ~ 아차산역사거리,22,157,146,0,0,서울특별시청,2025-03-14
시도,뚝섬로,서울특별시 광진구 뚝섬로,동일로 ~ 자양로,22,123,118,0,0,서울특별시청,2025-03-14
시도,면목로,서울특별시 광진구 면목로,군자로 ~ 답십리로,20,76,0,0,0,서울특별시청,2025-03-14
시도,강변역로,서울특별시 광진구 강변역로,아차산로 ~ 강변북로,22,114,45,0,0,서울특별시청,2025-03-14
시도,구천면로,서울특별시 광진구 구천면로,아차산로 ~ 강변북로,22,12,0,0,0,서울특별시청,2025-03-14
시도,군자로,서울특별시 광진구 군자로,화양삼거리 ~ 애플마트,15,34,0,0,0,서울특별시청,2025-03-14
구도,강변역로4길,서울특별시 광진구 강변역로4길,동서울터미널 외곽,22,40,12,0,0,서울특별시 광진구청,2025-03-14
구도,광나루로56길,서울특별시 광진구 광나루로56길,테크노마트(강변역로)~광남중학교,22,39,27,0,0,서울특별시 광진구청,2025-03-14
