스마트가로등유형,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
2,충청남도,공주시,고마나루길,충청남도 공주시 고마나루길75,충청남도 공주시 공주시 웅진동 344-23,36.4641456,127.1079455,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,고마나루길,충청남도 공주시 고마나루길75,충청남도 공주시 공주시 웅진동 344-23,36.4643419,127.1076932,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,고마나루길,충청남도 공주시 고마나루길75,충청남도 공주시 공주시 웅진동 344-23,36.4645819,127.1074497,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,고마나루길,충청남도 공주시 고마나루길75,충청남도 공주시 공주시 웅진동 344-23,36.4646850,127.1073520,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,관광단지길,충청남도 공주시 관광단지길 30,충청남도 공주시 공주시 웅진동 355-1,36.4652266,127.1069021,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,관광단지길,충청남도 공주시 관광단지길 30,충청남도 공주시 공주시 웅진동 355-1,36.4667718,127.1099224,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,관광단지길,충청남도 공주시 관광단지길 30,충청남도 공주시 공주시 웅진동 355-1,36.4666320,127.1096466,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,관광단지길,충청남도 공주시 관광단지길 30,충청남도 공주시 공주시 웅진동 355-1,36.4664759,127.1093936,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,관광단지길,충청남도 공주시 관광단지길 30,충청남도 공주시 공주시 웅진동 355-1,36.4662889,127.1091541,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,관광단지길,충청남도 공주시 관광단지길 30,충청남도 공주시 공주시 웅진동 355-1,36.4661212,127.1089092,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,관광단지길,충청남도 공주시 관광단지길 30,충청남도 공주시 공주시 웅진동 355-1,36.4659482,127.1086522,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,관광단지길,충청남도 공주시 관광단지길 30,충청남도 공주시 공주시 웅진동 355-1,36.4657660,127.1083739,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,관광단지길,충청남도 공주시 관광단지길 30,충청남도 공주시 공주시 웅진동 355-1,36.4656030,127.1080392,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
2,충청남도,공주시,관광단지길,충청남도 공주시 관광단지길 30,충청남도 공주시 공주시 웅진동 355-1,36.4654456,127.1076843,1,N,무,무,Y,N,N,N,Y,N,,무,,,공주시청,041-840-8118,2022-11-21,4500000,충청남도 공주시
