연번,자치구,신호등종류,위도,경도,주소
1,강남구,보행등,37.49855955,127.0444754,강남구 역삼동 710 대
2,강남구,보행등,37.50910509,127.0331641,강남구 논현동 219-12 대
3,강남구,보행등,37.49568262,127.0855807,강남구 일원동 460천
4,강남구,보행등,37.49580882,127.0859871,강남구 일원동 460천
5,강남구,보행등,37.534857,127.0343934,강남구 압구정동 484천
6,강남구,보행등,37.49373718,127.0793828,강남구 개포동 18-1잡
7,강남구,보행등,37.51140264,127.062076,강남구 삼성동 161-11 대
8,강남구,보행등,37.51143065,127.0613995,강남구 삼성동 161 대
9,강남구,보행등,37.51152609,127.0616812,강남구 삼성동 161-2 대
10,강남구,보행등,37.49858027,127.0608974,강남구 대치동 973-14 대
11,강남구,보행등,37.49874866,127.0611728,강남구 대치동 973-28 대
12,강남구,보행등,37.51479111,127.0643086,강남구 삼성동 99-7 대
13,강남구,보행등,37.48347657,127.0596778,강남구 개포동 156 공
14,강남구,보행등,37.498635,127.0607917,강남구 대치동 973-12 대
15,강남구,보행등,37.49866457,127.0449505,강남구 역삼동 712 공
16,강남구,보행등,37.49904859,127.0307884,강남구 역삼동 633-16 대
17,강남구,보행등,37.51504852,127.0660634,강남구 삼성동 186-6천
18,강남구,보행등,37.49967698,127.0803792,강남구 일원동 306유
19,강남구,보행등,37.53485048,127.0345006,강남구 압구정동 484천
20,강남구,보행등,37.49345247,127.079354,강남구 일원동 580잡
21,강남구,보행등,37.50471687,127.0490793,강남구 삼성동 133 공
22,강남구,보행등,37.50442286,127.0495578,강남구 대치동 137 공
23,강남구,보행등,37.49365178,127.0793657,강남구 일원동 580잡
24,강남구,보행등,37.49904959,127.0609857,강남구 대치동 1012-68 도
25,강남구,보행등,37.49945105,127.0623624,강남구 대치동 980-5 대
26,강남구,보행등,37.49581232,127.0626983,강남구 대치동 316 대
27,강남구,보행등,37.49564593,127.0624392,강남구 대치동 316 대
28,강남구,보행등,37.52526597,127.0540771,강남구 청담동 343천
29,강남구,보행등,37.50898251,127.0329598,강남구 논현동 219-14 대
30,강남구,보행등,37.51185253,127.0497822,강남구 삼성동 24-25 대
31,강남구,보행등,37.51203431,127.0496159,강남구 삼성동 24-23 대
32,강남구,보행등,37.50536885,127.0649922,강남구 대치동 1012-8 도
33,강남구,보행등,37.49867919,127.061188,강남구 대치동 973-28 대
34,강남구,보행등,37.49904116,127.0610306,강남구 대치동 1012-68 도
35,강남구,보행등,37.49846645,127.0444944,강남구 역삼동 710 대
36,강남구,보행등,37.52810642,127.0281984,강남구 압구정동 456 대
37,강남구,보행등,37.52810686,127.0284548,강남구 압구정동 456 대
38,강남구,보행등,37.49298538,127.0425511,강남구 역삼동 778-10 대
39,강남구,보행등,37.49945793,127.0332271,강남구 역삼동 639-12 대
40,강남구,보행등,37.4997244,127.0329911,강남구 역삼동 639-5 대
41,강남구,보행등,37.50429559,127.0248145,강남구 역삼동 182-19 대
42,강남구,보행등,37.50099873,127.0366754,강남구 역삼동 670-4 대
43,강남구,보행등,37.50784553,127.0361921,강남구 역삼동 261-1 대
44,강남구,보행등,37.49830087,127.0445176,강남구 역삼동 710 대
45,강남구,보행등,37.51517603,127.0666849,강남구 삼성동 186-3천
46,강남구,보행등,37.48949171,127.0692671,강남구 개포동 513-3 천
47,강남구,보행등,37.48346035,127.0445478,강남구 도곡동 179-1도
48,강남구,보행등,37.50804787,127.0361267,강남구 논현동 261-1 대
49,강남구,보행등,37.4828094,127.0799537,강남구 일원동 714 학
50,강남구,보행등,37.4828094,127.0799537,강남구 일원동 714 학
51,강남구,보행등,37.48738309,127.0620515,강남구 개포동 508-2 공
52,강남구,보행등,37.50241456,127.0564836,강남구 대치동 893-1 대
53,강남구,보행등,37.50230415,127.0566257,강남구 대치동 1011-8 도
54,강남구,보행등,37.50205085,127.0553961,강남구 대치동 893 대
55,강남구,보행등,37.50189488,127.0553768,강남구 대치동 893 대
56,강남구,보행등,37.48229402,127.0553851,강남구 개포동 649 대
57,강남구,보행등,37.48357766,127.0570264,강남구 개포동 647-1 도
58,강남구,보행등,37.4835544,127.0572331,강남구 개포동 175-1 도
59,강남구,보행등,37.48962223,127.0691933,강남구 개포동 513-3 천
60,강남구,보행등,37.48939231,127.0688752,강남구 개포동 513-3 천
61,강남구,보행등,37.48507058,127.0583829,강남구 개포동 175 공
62,강남구,보행등,37.48446523,127.0582068,강남구 개포동 175 공
63,강남구,보행등,37.51541698,127.0659931,강남구 삼성동 186-3천
64,강남구,보행등,37.49978361,127.0490248,강남구 역삼동 802-31 도
65,강남구,보행등,37.49998522,127.0490376,강남구 역삼동 1011-17 도
66,강남구,보행등,37.48986988,127.0331721,강남구 역삼동 858-15 도
67,강남구,보행등,37.5289394,127.0354435,강남구 신사동 481 대
68,강남구,보행등,37.49712472,127.0421412,강남구 역삼동 804-16 도
69,강남구,보행등,37.50598101,127.0346404,강남구 역삼동 233-6 대
70,강남구,보행등,37.48552624,127.0979409,강남구 수서동 734 대
71,강남구,보행등,37.50873249,127.0381772,강남구 논현동 263-23 공
72,강남구,보행등,37.48532861,127.0410988,강남구 도곡동 산179임
73,강남구,보행등,37.49602978,127.0531209,강남구 대치동 924-4 대
74,강남구,보행등,37.49507273,127.0536269,강남구 대치동 888 대
75,강남구,보행등,37.50700883,127.0235005,강남구 논현동 140-13 대
76,강남구,보행등,37.50732481,127.0400021,강남구 역삼동 277-8 대
77,강남구,보행등,37.48450194,127.057967,강남구 개포동 175 공
78,강남구,보행등,37.48457545,127.0578024,강남구 개포동 175 공
79,강남구,보행등,37.49362562,127.0610533,강남구 대치동 208-6 공
80,강남구,보행등,37.50707348,127.0397896,강남구 역삼동 277-6 대
81,강남구,보행등,37.49924563,127.0473704,강남구 역삼동 713 학
82,강남구,보행등,37.49650926,127.069634,강남구 대치동 65대
83,강남구,보행등,37.50787667,127.0454679,강남구 역삼동 113-2 대
84,강남구,보행등,37.48935891,127.0691898,강남구 개포동 185 대
85,강남구,보행등,37.48935961,127.0690527,강남구 개포동 197 도
86,강남구,보행등,37.48850221,127.0645773,강남구 개포동 511 대
87,강남구,보행등,37.53479261,127.0349101,강남구 압구정동 484천
88,강남구,보행등,37.48340638,127.0595194,강남구 개포동 156 공
89,강남구,보행등,37.48670289,127.0830028,강남구 일원동 702-4 도
90,강남구,보행등,37.49145976,127.0724711,강남구 개포동 10천
91,강남구,보행등,37.47590829,127.0593971,강남구 개포동 141 대
92,강남구,보행등,37.49895108,127.06068,강남구 대치동 973-24 대
93,강남구,보행등,37.49074316,127.0352914,강남구 역삼동 792-7 대
94,강남구,보행등,37.46623573,127.1182237,강남구 세곡동 101-10 도
95,강남구,보행등,37.47627495,127.0587924,강남구 개포동 660-12 대
96,강남구,보행등,37.51049367,127.0364749,강남구 논현동 250-20 대
97,강남구,보행등,37.53477632,127.0347948,강남구 압구정동 484천
98,강남구,보행등,37.49822338,127.0446244,강남구 역삼동 712-2 대
