주소,위도,경도,CCTV 수량,설치목적,cluster,주변 CCTV 수
서울특별시 광진구 뚝섬로52라길 61-12 (자양동),37.56177,127.08947,1,쓰레기단속,-1,0
서울특별시 광진구 아차산로58길 77 (구의동),37.56076,127.08405,1,생활방범,-1,0
서울특별시 광진구 아차산로60길 13-13 (구의동),37.55869,127.08901,1,생활방범,-1,0
서울특별시 광진구 긴고랑로5길 10 (중곡동),37.53922,127.09526,1,생활방범,-1,0
서울특별시 광진구 영화사로 11길 39,37.54552,127.10227,1,생활방범,-1,0
서울특별시 광진구 용마도시자연공원-사무실,37.53217,127.06512,1,생활방범,-1,0
서울특별시 광진구 능동로 25-1 (자양동),37.54127,127.09892,1,생활방범,-1,0
서울특별시 광진구 강변역로4길 56 (구의동),37.54905,127.10741,1,교통단속,-1,0
서울특별시 광진구 용마산로21길 77 (중곡동),37.5504,127.10976,1,생활방범,-1,0
서울특별시 광진구 능동로 110 (화양동),37.56314,127.10079,1,교통단속,-1,0
서울특별시 광진구 뚝섬로 52길,37.56433,127.07629,1,어린이보호,-1,0
서울특별시 광진구 능동로36길 87,37.54384,127.09156,1,생활방범,-1,0
서울특별시 광진구 능동로3가길 12 (자양동),37.54345,127.09261,1,생활방범,-1,0
서울특별시 광진구 능동로50길 31-9,37.553,127.07588,1,생활방범,-1,0
서울특별시 광진구 아차산로 426 (구의동),37.54012,127.09531,1,어린이보호,-1,0
서울특별시 광진구 아차산로 435 강변SK뷰 교통섬,37.5424,127.09236,1,어린이보호,-1,0
서울특별시 광진구 아차산로44길 36 (자양동),37.55478,127.09139,1,어린이보호,-1,0
서울특별시 광진구 뚝섬로31길51,37.56086,127.0823,1,교통단속,-1,0
서울특별시 광진구 자양로 116,37.55436,127.18708,1,교통단속,-1,0
서울특별시 광진구 용마산로 47 (중곡동),37.54976,127.07265,1,어린이보호,-1,0
서울특별시 광진구 동일로56길 48,37.53896,127.06688,1,생활방범,-1,0
서울특별시 광진구 동일로60길 25 (군자동),37.54094,127.06607,1,생활방범,-1,0
서울특별시 광진구 구의로16길 68 (구의동),37.54227,127.0996,1,다목적,-1,0
서울특별시 광진구 아차산로 384-1,37.54134,127.09737,1,다목적,-1,0
서울특별시 광진구 뚝섬로22가길 22 (자양동),37.56402,127.08397,1,생활방범,-1,0
서울특별시 광진구 뚝섬로32길 17 (자양동),37.56141,127.08321,1,생활방범,-1,0
서울특별시 광진구 답십리로74길 15 (중곡동),37.55215,127.08482,1,생활방범,-1,0
서울특별시 광진구 동일로10길 25 (자양동),37.52874,127.08112,1,생활방범,-1,0
서울특별시 광진구 동일로10길 42 (자양동),37.52784,127.08441,1,생활방범,-1,0
서울특별시 광진구 동일로18가길 13 (자양동),37.5312,127.07792,1,생활방범,-1,0
서울특별시 광진구 동일로20길 106 (자양동),37.52798,127.08025,1,생활방범,-1,0
서울특별시 광진구 광나루로 14길 26,37.54951,127.09911,1,생활방범,-1,0
서울특별시 광진구 광나루로 38길 8,37.56513,127.09741,1,생활방범,-1,0
서울특별시 광진구 자양로15길 6 (자양동),37.54093,127.08448,1,생활방범,-1,0
서울특별시 광진구 광장로1길 27 (광장동),37.56815,127.10103,1,어린이보호,-1,0
서울특별시 광진구 뚝섬로51길 24 (자양동),37.55765,127.09524,1,생활방범,-1,0
서울특별시 광진구 뚝섬로52다길 45 (자양동),37.56093,127.08881,1,생활방범,-1,0
서울특별시 광진구 뚝섬로52마길 60 (자양동),37.55969,127.08838,1,생활방범,-1,0
서울특별시 광진구 광나루로17길 14-14 (군자동),37.55415,127.10133,1,생활방범,-1,0
서울특별시 광진구 광나루로22길 7,37.55997,127.10158,1,생활방범,-1,0
서울특별시 광진구 광나루로52길 83 (구의동),37.53104,127.09198,1,생활방범,-1,0
서울특별시 광진구 자양로43길 123 (중곡동),37.54064,127.10001,1,생활방범,-1,0
서울특별시 광진구 천호대로140길 60,37.56479,127.08457,1,생활방범,-1,0
서울특별시 광진구 능동로 120-1,37.5685,127.10315,1,시설물관리,-1,0
서울특별시 광진구 면목로38,37.55158,127.08611,1,생활방범,-1,0
서울특별시 광진구 면목로9길31,37.54743,127.10428,1,생활방범,-1,0
서울특별시 광진구 아차산로 75길 9,37.53348,127.07674,1,생활방범,-1,0
서울특별시 광진구 아차산로 78길 18,37.53859,127.07892,1,생활방범,-1,0
서울특별시 광진구 자양로44길 141-7 (구의동),37.55068,127.0888,1,생활방범,-1,0
서울특별시 광진구 자양로51길 10-9 (구의동),37.53882,127.09806,1,생활방범,-1,0
서울특별시 광진구 자양로52길 11 (구의동),37.53823,127.09069,1,생활방범,-1,0
서울특별시 광진구 자양번영로 7길 3,37.5371,127.08072,1,생활방범,-1,0
서울특별시 광진구 광장로1길 23 (광장동),37.5629,127.09129,1,쓰레기단속,-1,0
