구분,자치구,소재지,도로명주소,지정개수,시설명,시설유형,지정연도,위도,경도,100m이내_CCTV개수
,174.0,광진구,능동,천호대로130길 58,경복초등학교,초등학교,1998.0,37.5537792609499,127.080536887135,4
,175.0,광진구,광장동,아차산로70길 35,서울광남초등학교,초등학교,1998.0,37.5468565308905,127.103025712709,3
,176.0,광진구,광장동,광장로1길 27,서울광장초등학교,초등학교,1995.0,37.5468565308905,127.103025712709,3
,177.0,광진구,구의2동,자양로40길 41,서울광진초등학교,초등학교,2003.0,37.5472276222658,127.089940298223,6
,178.0,광진구,구의3동,구의강변로 69,서울구남초등학교,초등학교,1995.0,37.5379818127006,127.091961310776,5
,179.0,광진구,화양동,광나루로30길 49,서울구의초등학교,초등학교,1995.0,37.5464762611364,127.071367614735,5
,180.0,광진구,구의2동,영화사로 111,서울동의초등학교,초등학교,1995.0,37.5472276222658,127.089940298223,6
,181.0,광진구,자양3동,뚝섬로 561,서울동자초등학교,초등학교,1995.0,37.5338324938555,127.072903328874,3
,182.0,광진구,자양2동,뚝섬로56길 7,서울성자초등학교,초등학교,1998.0,37.5288440921009,127.084415425866,4
,183.0,광진구,자양3동,능동로 42,서울신양초등학교,초등학교,1998.0,37.5338324938555,127.072903328874,3
,184.0,광진구,자양2동,뚝섬로46길 64,서울신자초등학교,초등학교,1995.0,37.5288440921009,127.084415425866,4
,185.0,광진구,자양2동,뚝섬로64길 71,서울양남초등학교,초등학교,1996.0,37.5288440921009,127.084415425866,4
,186.0,광진구,광장동,워커힐로 32,서울양진초등학교,초등학교,2005.0,37.5468565308905,127.103025712709,3
,187.0,광진구,중곡4동,용마산로22길 82,서울용곡초등학교,초등학교,1998.0,37.5590779184911,127.089447499249,2
,188.0,광진구,중곡2동,천호대로113길 10,서울용마초등학교,초등학교,1996.0,37.5602945934345,127.081526307691,2
,189.0,광진구,자양1동,아차산로44길 26,서울자양초등학교,초등학교,1995.0,37.5345073783873,127.082439566695,6
,190.0,광진구,군자동,군자로 74,서울장안초등학교,초등학교,1995.0,37.5554765598174,127.075350846159,3
,191.0,광진구,중곡3동,긴고랑로13길 59,서울중광초등학교,초등학교,1998.0,37.5640391581822,127.086555860905,3
,192.0,광진구,중곡3동,동일로72길 43,서울중마초등학교,초등학교,1998.0,37.5640391581822,127.086555860905,3
,193.0,광진구,자양2동,자양로4길 63,성동초등학교,초등학교,1996.0,37.5288440921009,127.084415425866,4
,194.0,광진구,군자동,군자로 114,세종초등학교,초등학교,1998.0,37.5554765598174,127.075350846159,3
,195.0,광진구,광장동,아차산로70길 40,광남유치원,유치원(일반),1997.0,37.5468565308905,127.103025712709,3
,196.0,광진구,광장동,광장로7길 17,광장유치원,유치원(일반),2009.0,37.5468565308905,127.103025712709,3
,197.0,광진구,자양3동,뚝섬로41길 20,"대원유치원
(구 우성유치원)",유치원(일반),1998.0,37.5338324938555,127.072903328874,3
,198.0,광진구,군자동,군자로12길 46,동심유치원,유치원(일반),2010.0,37.5554765598174,127.075350846159,3
,199.0,광진구,광장동,아차산로 552,보성유치원,유치원(일반),2009.0,37.5468565308905,127.103025712709,3
,200.0,광진구,자양2동,뚝섬로66길 14,선경유치원,유치원(일반),1997.0,37.5288440921009,127.084415425866,4
,201.0,광진구,군자동,동일로 256-1,선양유치원,유치원(일반),2006.0,37.5554765598174,127.075350846159,3
